Num	Nom	Annee	Surfpoly	Surfpoint	Industrie	Batiment	Transport	Infrastructure	Parcs	Arboriculture	Arables	Paturages	Alpages	Forets	Buissons	Bois	Lacs	Rivieres	Vegetation	Arides	Glaciers	Population	Municipalites	Canton	Langue
  1	Zürich	2016/17	172894	172887	2699	20368	11207	1523	3273	3347	37055	29813	143	50373	0	2370	7388	1297	1973	58	0	1539275	166	ZH	DE
  2	Bern / Berne	2013/16	595952	595946	3169	22410	13672	2174	2465	4284	74002	90484	81975	167298	6146	14705	13594	4726	24195	52036	18611	1039474	347	BE	DE
  3	Luzern	2015/16	149352	149330	1499	7903	4335	678	967	2747	25896	42157	7979	41024	163	3738	6586	912	1595	1151	0	413120	83	LU	DE
  4	Uri	2015/16	107654	107633	168	792	894	148	131	35	22	5049	20159	15597	5745	1250	2214	1010	16510	31172	6737	36703	20	UR	DE
  5	Schwyz	2016	90788	90807	514	2899	1781	319	360	584	735	19517	15076	27676	393	2646	6411	607	5682	5562	45	160480	30	SZ	DE
  6	Obwalden	2015/16	49058	49064	126	962	675	116	121	144	73	6680	10769	18152	704	1509	1321	441	2932	3888	451	37930	7	OW	DE
  7	Nidwalden	2016	27585	27595	128	795	478	92	67	92	52	5072	4854	8352	250	670	3491	179	1287	1699	37	43087	11	NW	DE
  8	Glarus	  0	68531	68532	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	34000	0	0	40590	3	GL	DE
  9	Zug	2016	23873	23873	285	1830	930	227	273	559	2547	6738	110	6207	0	348	3159	166	489	5	0	127642	11	ZG	DE
  10	Fribourg / Freiburg	2013/14	167142	167147	1067	8191	4691	780	801	1105	37587	35356	18220	41424	341	3702	8272	841	3371	1398	0	321783	136	FR	FR
  11	Solothurn	2014/15	79045	79039	1120	6060	3163	618	663	1188	15039	13367	3133	32238	0	1597	39	659	83	72	0	275247	109	SO	DE
  12	Basel-Stadt	2014	3695	3698	229	1317	662	89	343	52	161	215	0	435	0	29	2	164	0	0	0	201469	3	BS	DE
  13	Basel-Landschaft	2014/15	51767	51775	986	4901	2481	372	637	1817	8098	9780	850	20416	0	1040	21	281	80	15	0	290765	86	BL	DE
  14	Schaffhausen	2016/17	29842	29845	302	1754	1111	231	212	772	8808	3242	40	12611	0	354	52	274	75	7	0	82348	26	SH	DE
  15	Appenzell Ausserrhoden	2017	24284	24292	142	1437	624	56	67	142	9	11562	1540	7776	2	556	7	102	179	91	0	55445	20	AR	DE
  16	Appenzell Innerrhoden	2017	17248	17239	50	499	235	28	55	19	8	6473	2708	4926	122	480	45	99	817	647	28	16128	6	AI	DE
  17	St. Gallen	0	202820	203075	0	17600	0	0	0	0	69735	27860	0	61970	0	0	8200	0	17710	0	0	510734	77	SG	DE
  18	Graubünden / Grigioni / Grischun	0	710530	710539	0	12790	0	0	0	0	211740	0	0	189714	0	0	0	0	296295	0	0	199021	108	GR	DE
  19	Aargau	2015/16	140380	140385	2598	13199	6938	1335	1247	3048	36698	20419	0	49097	0	2198	1121	1991	454	42	0	685845	212	AG	DE
  20	Thurgau	2016/17	99433	99401	1299	6763	3756	536	774	4836	25241	20429	0	20015	0	1285	13333	677	424	33	0	279547	80	TG	DE
  21	Ticino	2015/18	281216	281224	1188	8571	4740	1090	974	1880	1983	6751	24021	124874	13346	7899	8435	3330	38588	32836	718	351491	115	TI	IT
  22	Vaud	2012/14	321201	321223	2025	15987	10398	1469	2263	6378	70040	28964	28305	95471	1400	6913	39367	1052	5980	4937	274	805098	309	VD	FR
  23	Valais / Wallis	2013/17	522463	522475	1394	9280	6781	1655	1159	8127	3931	17555	65966	108249	7514	13294	3745	4599	64153	141982	63091	345525	126	VS	FR
  24	Neuchâtel	2013/14	80216	80208	561	3419	2149	346	554	802	6075	17319	8972	28470	0	2398	8619	201	267	56	0	176496	31	NE	FR
  25	Genève	2012	28249	28232	598	5492	2436	439	909	1899	7177	1594	0	3023	0	451	3685	389	117	23	0	504128	45	GE	FR
  26	Jura	2014	83851	83860	408	2809	2120	361	277	522	14771	17391	7985	34132	0	2441	81	253	225	84	0	73584	55	JR	FR
